,article,url,header,date
0,"Die Gesellschaft scheint in Teilen zumindest wegen der diversen Maßnahmen im Kampf gegen die Verbreitung des Corona-Virus auch zu leiden. Dies lässt sich zumindest der Darstellung in diversen Medien und teils sogar in den öffentlich-rechtlichen Talkshows entnehmen. Es gibt inzwischen deutliche Stimmen, auch aus der Wirtschaft, die auffordern, wir müssten „mit dem Virus leben“. So hat das Institut der deutschen Wirtschaft (IW Köln), das gemeinhin schon seit vielen Jahren als „arbeitgebernah“ gilt, eine stufenweise Rückkehr zu einer neuen Normalität gefordert. In Medien wird diese Forderung sogar als „Plan“ beschrieben. Gewisse Sterblichkeit sei angemessen Die Ökonomen gehen sogar davon aus, eine gewisse Sterblichkeit sei angemessen. Die neue Normalität bedeute, Risiken hinzunehmen. Denn die fast vollständige Eliminierung des Corona-Virus sowie der entsprechenden Risiken sei ein „realistisches oder wirtschaftlich adäquates Ziel“, meinen die Verfasser´, der Chef Michael Hüther sowie der Geschäftsführer des Instituts, Hubertus Bardt. Demzufolge würde es eher wichtig werden, die wirtschaftlichen sowie die sozialen Folgewirkungen dem gesundheitlichen Mehrwert (von Maßnahmen) einem Vergleich zu unterziehen. Es geht also letztlich um eine Kosten-Nutzen-Abwägung, die Ökonomen ohnehin zur beruflichen Leitlinie erhoben haben. Ökonomen sind indes in den Beratungsgremien der Merkel-Regierung und der Landesregierungen zumindest den bis dato vernehmbaren Verlautbarungen nach nicht aufgenommen worden. Ökonomen, die solche Abwägungen vornehmen, denken in so genannten Opportunitätskosten. Wie hoch also ist der Verzicht zu beziffern, der durch Wahl einer Maßnahme hinzunehmen ist. Die Ökonomn wiederum gehen davon aus, dass die Schäden bei den aktuell getroffenen Maßnahmen enorm sind. Sie zählen auf: psychische Belastungen von Kindern, Lebensqualität, die verloren geht sowie nicht wahrgenommene Möglichkeiten der Arbeit und der Ausbildung. Diese Folgen sind bis dato zumindest ökonomisch noch nicht bewertet worden. Ohnehin aber sind die Folgen der Lockdowns schon jetzt gravierend. 3,5 bis zu 5 Mrd. Euro würden pro Woche auf diese Weise als Kosten entstehen. Es sei nun wichtig, „mit dem Vius zu leben“. ",https://www.neopresse.com/gesundheit/mit-dem-virus-leben-die-bessere-gesellschaftsstrategie/,"
			Mit dem Virus leben – die bessere Gesellschaftsstrategie?        ",28. Februar 2021
1,"Der Streit um die richtigen Maßnahmen im Kampf gegen das Corona-Virus und dessen Ausbreitung wird unvermindert fortgeführt. Während die Talkshows in Deutschland und sicherlich auch in anderen Ländern sich oft in der geforderten Härte der Maßnahmen überbieten und sich auf „die Wissenschaft“ berufen, meldet sich – „die Wissenschaft“. Die beiden Wissenschaftler Günter Kampf vom Institut für Hygiene und Umweltmedizin der Universität Greifswald sowie Martin Kulldorff, Harvard Medical School haben eine dem Wissenschaftsmagazin „Lancet“ einen Brief geschrieben, der tatsächlich veröffentlicht wurde. Darin geht es gegen die Hysterie bei Politikern und Regierungen und vor allem um die Kollateralschäden des Lockdowns. Der Brief richtet sich an alle Wissenschaftler, an Angestellte im Gesundheitswesen, an Politiker und auch Journalisten. Sie sollten sich mit den Kollaeralschäden beschäftigen. Dabei betonen sie etwa, dass die Einweisungen in Folge eines akuten Herzanfalls in den westlichen Staaten rückläufig seien. Die Sterbewelle in den Pflegeheimen Großbritanniens etwa umfasse (nicht) nur Covid-19-Fälle. So würden die Sterbefälle wegen eines akuten Koronarsyndroms sich um 41 % erhöht haben, die Sterbefälle wegen eines Schlaganfalls um 39 %, die Sterbefälle wegen Herzversagens um 25 %. Es gibt auch in Deutschland rückläufige Zahlen: Die Behandlung von Prostatakrebs ist im Volumen um -23,1 % gesunken, beim Darmkrebs um -22,3 %, beim Lungenkrebs um -19,8 %, bei Blasenkrebs um -16,5 % und beim Brustkrebs um -13,9 %. In England sei die Zahl der Chemotherapien um 60 % niedriger, Krebsvorsorgeuntersuchungen seien zu 76 % weniger durchgeführt worden. In den USA hätten bei einer „Befragung“ 78,9 % Symptome benannt, die klinisch einer Depression zuzuordnen sind. Bevor die Lockdownmaßnahmen griffen, waren dies 33,7 %. Allein solche Kollateralschäden mindern die Lebenserwartung sichtlich und reduzieren die Lebensqualität erheblich – und lassen sich nicht in der täglich veröffentlichten Inzidenz-Zahl abbilden. Am 3. März wird die Merkel-Regierung weitere Maßnahmen beschließen.   ",https://www.neopresse.com/gesundheit/ruf-der-wissenschaft-regierungen-verantwortlich-fuer-herzversagen-oder-schlaganfall-zunahme/,"
			Ruf der Wissenschaft: Regierungen verantwortlich für Herzversagen oder Schlaganfall-Zunahme        ",28. Februar 2021
2,"Die Grippewelle in Deutschland bleibt in Corona-Zeiten offenbar aus. Aktuelle Zahlen aus der zweiten Februarwoche zeigen, dass die bisherige Saison 414 Influenza-Fälle mit sich brachte. Atemwegserkrankungen werden kaum gemeldet. Vor einem Jahr noch wurden gut 58.000 Influenza-Fälle gemeldet. Zweite Woche: 16 Fälle Für die vergangene – zweite – Februar Woche hatte das Robert-Koch-Institut (RKI) sogar nur 16 bestätigte Fälle gemeldet. Sensationell wenig. „Im Vorjahr um diese Zeit waren bis zur 6. Meldewoche mehr als 140-mal so viel labordiagnostisch bestätigte Influenzavirusinfektionen an das RKI übermittelt worden, heißt es. Aktuell werde von einer „Zirkulation von Influenzaviren auf einem extrem niedrigen Niveau in der Saison 2020/21 ausgegangen“, heißt es vom RKI. Dabei forderte etwa die Kassenärztliche Bundesvereinigung vor kurzem erneut dazu auf, sich gegen die Grippe impfen zu lassen. Die Corona-Diskussion solle nicht davon ablenken, dass auch noch andere Viren im Umlauf wären. Kritiker verwiesen schon seit längerem erstaunt darauf, dass das Ausbleiben der Grippe-Erkrankungen kaum erklärungsfähig sei. So wird gelegentlich darauf verwiesen, dass die Zahlen offenbar nicht so genau erfasst würden wie sonst. Im gesamten letzten Quartal 2020 waren die Grippeerkrankungen praktisch vollkommen verschwunden. Dasselbe Bild ergibt sich im Wesentlichen direkt mit dem Ende des ersten Quartals 2020, nachdem das Corona-Virus und dessen Ausbreitung bekannt geworden waren. Die Tendenz allerdings zeigt(e) sich nicht nur in Deutschland. Dasselbe Phänomen war und ist auf der gesamten Welt zu sehen. So war die Woche 42 im Jahr 2020 besonders erstaunlich. Mitten im Herbst hatte es laut WHO in ganz Europa nicht einen einzigen Grippefall gegeben. Das Rätsel bleibt weiterhin ungelöst und dürfte auch die Meinungen von Kritikern an der gesamten Diskussion weiterhin beeinflussen. ",https://www.neopresse.com/gesundheit/sehr-gute-nachricht-414-grippefaelle-vor-einem-jahr-waren-es-wohl-58-000/,"
			Sehr gute Nachricht: 414 Grippefälle – vor einem Jahr waren es wohl 58.000        ",27. Februar 2021
3,"Der inzwischen auf der „Bundespressekonferenz“ unter Druck durch die etablierte Konkurrenz stehende Journalist Boris Reitschuster vom Portal reitschuster.de hat den Sprecher des Gesundheitsministers Jens Spahn, Hanno Kautz, zu Zahlen des Robert-Kochs-Instituts (RKI) befragt: „Im aktuellen Influenza-Wochenbericht des RKI steht wörtlich, dass die Zahl der akuten Atemwegserkrankungen unter den Werten der Vorsaison auf einem extrem niedrigen Wert ist.“ Zugleich würde das RKI behaupten, dass eine Infektion mit dem Sars-CoV-2-Virus oft mit Atemwegserkrankungen einherginge. Der Journalist wollte nun wissen, wie dieser Widerspruch zu erklären sei. Das Bundesgesundheitsministerium allerdings hat keine Antwort präsentiert, sondern verwies vielmehr darauf, der Fragesteller solle sich an das RKI wenden. Der Sprecher des Ministeriums wurde wörtlich zitiert: „Ich habe doch gerade gesagt, Sie sollen sich ans RKI wenden. Ich würde jetzt ungerne die Statistik des RKI oder die Auswertung des RKI kommentieren von dieser Stelle“. Es sei besser, der Journalist würde das RKI fragen. Tatsächlich wandte sich Reitschuster eigenen Angaben nach an das RKI. Bis dato hat Reitschuster.de noch keine Antwort auf diese Anfrage, die vor wenigen Tagen gestellt wurde, ins Netz gestellt. Möglicherweise hat der Journalist noch keine Antwort erhalten. Die Situation erinnert an den März 2020. Auch damals meldete das RKI stark fallende Zahlen an Atemwegserkrankungen. Der „Lungeninformationsdienst.de“ beschrieb seinerzeit (am 16. April), dass die Rate an akuten Atemwegserkrankungen „seit Anfang März 2020 in Deutschland stark gesunken (ist). Ein so deutlicher Rückgang sei extrem ungewöhnlich.“ Dies sei, so wurde das RKO zitiert, ein klarer Hinweis auf die Wirksamkeit der aktuellen Maßnahmen gegen die Ausbreitung von Atemwegserkrankungen. In Verbindung mit diesen Aussagen wäre es nun interessant zu erfahren, wie sich dieser inzwischen auch schon historische Widerspruch (Atemwegserkrankungen sind 2020 wahrscheinlich wegen der Maßnahmen massiv zurückgegangen, Infektionen aber sind weiterhin auf hohem Niveau) erklären lässt.     ",https://www.neopresse.com/gesundheit/gesundheitsministerium-antwortet-zur-frage-von-extrem-wenig-atemwegserkrankungen/,"
			Gesundheitsministerium antwortet zur Frage von „extrem wenig“ Atemwegserkrankungen        ",27. Februar 2021
4,"Einem Bericht der britischen Zeitung „The Guardian“ zufolge plant der britische Premierminister Boris Johnson alle Corona-Einschränkungen des „normalen“ Lebens in England bis zum 21. Juni aufzuheben. Er sei „sehr optimistisch“, dass alle Covid-Beschränkungen dann enden werden. Die Regierung werde weiterhin wirtschaftliche Unterstützung für Unternehmen bereitstellen, bis sie wieder normal arbeiten können. Damit scheint bestätigt zu sein, dass Johnson die Corona-Hilfspakete verlängern wird. Johnson fügte hinzu, dass es „offensichtlich Veränderungen geben werde, die sich aus der Art und Weise ergeben, wie sich die Wirtschaft auf natürliche Weise verändert hat“, sagte er. Johnson steht – ähnlich wie die Bundesregierung – unter Druck, Unterstützungsprogramme wie den Urlaub und die Erleichterung der Unternehmenssteuer zu verlängern, sowie die Erhöhung von Universalkrediten zu erweitern. Johnson hoffe, dass „alle Beschränkungen bis zum letzten Datum in seinem Fahrplan enden können“: „Ich bin hoffnungsvoll, aber offensichtlich kann nichts garantiert werden und es hängt davon ab, wie wir weiterhin umsichtig sind und die Richtlinien in jeder Phase befolgen“, sagte er Reportern. Diskussion um Impfpass-Pflicht „Aufgrund der immensen Möglichkeiten des wissenschaftlichen Einsatzes können wir wirklich mit einigem Optimismus auf das Datum des 21. Juni schauen. Ich bin sehr optimistisch, dass wir in der Lage sein werden, es zu schaffen.“ Johnson drängte die Bevölkerung dazu, weiterhin „umsichtig zu sein und die Regeln zu befolgen“, nachdem er seinen Plan veröffentlicht hatte, den dritten Lockdown über die kommenden Monate schrittweise aufzuheben. Johnson stellte die Öffnungen in einem Vier-Stufen-Plan vor. Johnson kündigte jedoch an, dass eine mögliche Verwendung von Impfpässen für den Zugang zu derzeit geschlossenen Örtlichkeiten wie Pubs oder Theatern noch untersucht werden müsse. Während das Impfprogramm voranschreite, werde diese Untersuchung „nach besten wissenschaftlichen, moralischen, philosophischen und ethischen Standpunkten erarbeitet“, so Johnson weiter. Jeder müsse seinen Teil dazu beitragen, um die gesetzten Ziele für die Lockerungen zu erreichen. Ähnlich wie in der EU scheint nun auch der britische Regierungschef Impfpflicht und Impfpass als Voraussetzung für die Erlangung eines „normalen“ Lebens einführen zu wollen. Wer gewisse Freiheiten haben will, muss neuerdings von der Regierung vorgegebene Bedingungen erfüllen. ",https://www.neopresse.com/gesundheit/johnson-will-bis-ende-juni-corona-massnahmen-aufheben/,"
			Johnson will bis Ende Juni Corona-Maßnahmen aufheben        ",26. Februar 2021
5,"Bundesgesundheitsminister Spahn hat verlauten lassen, dass Nebenwirkungen im Zusammenhang mit der Corona-Impfung ein gutes Zeichen seien. Gegenüber RTL meinte er, dies würde „eigentlich ein gutes Zeichen“ sein, da diese Reaktionen demonstrieren würden, dass das Immunsystem arbeitet. Die „Frankfurter Rundschau“ nun merkte an, dass ihr Menschen von ihren Erfahrungen mit dem Impfstoff von AstraZeneca berichtet hätte. Dabei ging es um „heftige grippeartige Beschwerden“, auch „hohes Fieber, Schüttelfrost, Schwindel, (…) sehr starken Muskelschmerzen bis hin zu ‚Vernichtungskopfschmerz'“. Das Krankheitsgefühl habe dabei in der Regel lediglich zwei Tage angehalten. Dennoch habe sich das Gefühl der Angeschlagenheit bei einigen Menschen über einen längeren Zeitraum gehalten. Sicherheit nicht infrage gestellt Die Zeitung betont, die Impfreaktionen dürften für die meisten Geimpften nicht gefährlich sein. Die Sicherheit des Impfstoff sei nicht in Frage gestellt. Immerhin handelt es sich bei den Phänomenen nicht um unbekannte Reaktionen. Aus den klinischen Studien sind Nebenwirkungen bekannt. Diese würden allerdings mit „mild bis moderat“ bezeichnet. Dennoch merkt die FR an, dass es nicht ganz so einfach sei, wie hier von Bundesgesundheitsminister Jens Spahn beschrieben. Der Impfstoff werfe Fragen auf, die u.a. die Wirksamkeit bzw. den Wirksamkeitsgrad betreffen. Zudem sei „nicht befriedigend beantwortet“, ob der Impfstoff möglicherweise auch krebserregend sein könne. Schließlich sei auch nicht „definitiv ausgeschlossen“, ob es zu einer Integration der verwendeten Virus-DNA in das menschliche Genom komme, auch wenn dies sehr unwahrscheinlich sei. Die Autorin des FR-Beitrags, Pamela Dörhöfer, stellt zumindest zu Bedenken, dass die Beschwerden bei Jüngeren offenbar heftiger ausfallen als bei Älteren. Dies falle stärker ins Gewicht, als die Jüngeren bei einer „natürlichen Infektion kein großes Risiko für eine schweren Verlauf haben“, sofern sie nicht chronisch krank seien, so die Meldung. ",https://www.neopresse.com/gesundheit/mehr-nebenwirkungen-als-vermutet/,"
			Mehr Nebenwirkungen als vermutet        ",26. Februar 2021
6,"Der „Hans Dampf in allen Gassen“ der Regierungsgesundheitspropaganda, Karl Lauterbach, darf nun wieder die Panik-Trommel rühren. Obwohl dieser „Gesundheitsexperte“ laut Medienberichten nicht einmal von seiner Ex-Frau – einer Epidemiologin und somit echten Expertin – ernstgenommen wurde, ist Lauterbach Dauergast in den zwangsfinanzierten GEZ-Medien – lt. Kritikern ein Paralleluniversum für alle Corona-Gläubigen, die nach einem Jahr Panikmache und Grundrechtseingriffen immer noch nicht durch die Wahrheit erleuchtet worden sind. Welle würde sich nicht abschwächen In der „Passauer Neuen Presse“ wurde Lauterbach das Wort erteilt und abgedruckt. Lauterbach sagte, „wir seien noch nicht mitten in der dritten Infektionswelle, aber diese habe bereits angefangen und sei auch nicht mehr aufzuhalten. Deshalb müssten die geplanten Öffnungsschritte nach hinten verlegt werden“: „Ich glaube, dass wir die Inzidenzzahl von 35, wenn wir jetzt schon so früh in die dritte Welle kommen, an vielen Orten nicht mehr erreichen können“, so Lauterbach. „Es gebe Experten, die der Ansicht seien, die Welle würde sich aufgrund von saisonalen Gründen abschwächen. Doch das werde nicht der Fall sein“, so Lauterbach. Das Problem werde sich nicht durch das bessere Wetter lösen, weil man es jetzt mit der gefährlicheren und ansteckenderen „Virus-Mutante“ B1.1.7 aus Großbritannien zu tun habe. Diese Virus-Mutante werde sich in Deutschland durchsetzen und zu der dritten Welle führen, so Lauterbach. Die Merkel-Regierung hatte jüngst den neuen Inzidenz-Wert von 35 als Kriterium für mögliche Öffnungen erklärt. Zuvor konnten Geschäfte und Restaurants ab einem Inzidenzwert von 50 öffnen. Wie willkürlich dieser Wert ist, erklärte der Kölner Infektiologe Prof. Dr. Matthias Schrappe. Er sagte dem „Focus“, dass ein „Inzidenzwert von 35 hoffnungslos und nicht adäquat“ sei. Mit Inzidenzen würde man Zahlen lediglich „schönen“. Der Begriff „Inzidenz“ sei an sich schon falsch und unzulässig, denn die Melderaten seien unzuverlässig und würden schlicht hochgerechnet. Es sei ein „Skandal“, dass mit solchen unzuverlässigen Zahlen der Lockdown gesteuert werde, sagte Prof. Schrappe. Die „Bedrohlichkeit“ der Virus-Mutationen sei nichts weiter als „Propaganda“. Studien würden keine größere Bedrohung belegen. Viren würden sich zudem sowieso ständig verändern. Frau Merkel habe sich allerdings „in einem Tunnel vergraben“ und umgebe sich nur mit Menschen, die ihrer Meinung seien, so Schrappe. NRWs Ministerpräsident Armin Laschet zog den Unmut von Politikern und Mainstream-Medien auf sich, als er sich vor wenigen Tagen offenbar verplapperte und den Inzidenzwert als „erfundenen Grenzwert“ bezeichnete. Laschets Äußerung wurde nicht nur kritisiert und gerügt, sondern von selbsternannten „Faktencheckern“ als „gefährliches Missverständnis“ dargestellt. Laschet habe mit seiner „Aussage über den erfundenen Wert und das dadurch entstandene Missverständnis fahrlässig gehandelt“, heißt es bei einschlägigen „Faktencheckern“. Außerdem sei Laschets Satz „aus dem Kontext gerissen“ worden. Im Mainstream will man offenbar wieder zurechtrücken, was schon lange nicht mehr zurechtzurücken ist. Längst begreifen immer mehr Menschen, dass es dieser Regierung mit ihren dauerhaft grundrechtswidrigen und wirtschaftsvernichtenden Maßnahmen nicht um die Gesundheit der Bevölkerung und den Schutz des Gesundheitssystems vor einer Überlastung geht. ",https://www.neopresse.com/gesundheit/regierung-dritte-welle-nicht-mehr-zu-stoppen/,"
			Regierung: Dritte Welle nicht mehr zu stoppen        ",25. Februar 2021
7,"Kürzlich machte eine Meldung in den Medien die Runde, wonach der Impfstoff von BioNTech / Pfizer in Israel einen Schutz gegen die Infektion Anderer mit dem Corona-Virus darstelle. Konkret wurde die Agentur Reuters damit zitiert, der Impfstoff von Pfizer würde die Übertragung des Virus stark reduzieren. Dies hätten zwei israelische Studien herausgefunden. Die Seite sciencefiles.org hat Studien dazu untersucht. Demnach habe sich für eine Studie des Maccabi Health Care Service ein anderes Ergebnis gezeigt. Die erste Gruppe der Studie erhielt eine Impfung, die 1 bis 12 Tage her gewesen sei, die zweite Gruppe hingegen hatte die Impfung zwischen 13 und 24 Tagen hinter sich. Diese Gruppen wurden miteinander verglichen. Das Risiko, sich anzustecken, ist in diesem Vergleich um 51 % reduziert worden, wenn die erste Impfdosis vor mehr als 13 Tagen verabreicht worden ist. Dabei zeigt sich, dass nach 18 Tagen erst ein signifikanter Unterschied zwischen der ersten und der zweiten Gruppe zu sehen ist. Von den 503.875 Geimpften der ersten Gruppe sind schließlich im beobachteten Zeitraum 2.484 Geimpfte positiv auf SARS-CoV-2 getestet worden. In der Gruppe 2 sind 614 positiv auf SARS-CoV-2 getestet worden. Die Autoren des Beitrags auf Sciencefiles.org zitieren zudem aus einer Studie von Dvir Aran aus dem Jahr 2021. Der vergleich geimpfte Menschen mit nicht geimpften Menschen. Der Autor der Studie kommt mit seinen Schätzungen zu dem Ergebnis, dass die Impfung in den Tagen 0 bis 20 Tage nach der Impfung keine Wirkung habe. Die Studie von Chodick et al. aus dem Jahr 2021 wiederum komme zum Ergebnis (siehe oben), es dauere 18 Tage bis zu einer Wirkung. Aran schlussfolgert aus seinen Date, dass es eine Effektivität von 95 % gebe, diese aber erst für die erste Woche nach der zweiten Impfung eintrete. Diese Ergebnisse würde die Effektivität in den ersten Wochen nach der Impfung infrage stellen. Zudem stellt der Beitrag von Sciencefiles.org auf Basis einer Untersuchung aus Israel heraus, (Levine-Tiefenbrun et al. (2021)), dass die Virenlast nach dem 12. Tag nach Verabreichung einer Impfung sinke. Wie übertragbar die Ergebnisse sind, sei offen: „“Our results show that infections occurring 12 days or longer following vaccination have significantly reduced viral loads, potentially affecting viral shedding and contagiousness as well as severity of the disease.”   ",https://www.neopresse.com/gesundheit/wir-wirksam-ist-der-impfstoff-in-israel-gegen-die-uebertragung/,"
			Wir wirksam ist der Impfstoff in Israel gegen die Übertragung?        ",25. Februar 2021
8,"Interne, durchgesickerte Dokumente zeigen, dass das chinesische kommunistische Regime über große Daten-Mengen zur Grippe und anderen Virus-Erkrankungen verfügt, die ganz ähnliche Symptome wie Covid-19 aufweisen. Die kommunistische Partei Chinas (KPC) ist allerdings offenbar nicht willens, die Daten zu Forschungszwecken weiterzugeben, berichtet „Epoch Times“. Ein Team der WHO war jüngst nach Wuhan gereist, um die Herkunft des SARS-CoV-2 Virus und die Ursprünge der Corona-Pandemie zu untersuchen. Die Experten beschwerten sich laut „Epoch Times“ jedoch darüber, dass sich die KPC „geweigert“ habe, relevante Daten herauszugeben. Das WHO-Expertenteam beklagte Mitte Februar, dass die Rohdaten von Covid-19-Patienten in den frühen Stadien des Ausbruchs, sowie Daten über Lungenentzündungspatienten nicht herausgegeben wurden. Lediglich Influenza-Daten bereitgestellt Die CCP stellte nur Influenza-Daten eines einzigen allgemeinen Krankenhauses vom Dezember 2019 zur Verfügung, so der WHO-Bericht. „Epoch Times“ behauptet, in den Besitz von einer Reihe von internen Dokumenten gekommen zu sein, die vom Zentrum für Seuchenkontrolle und den Gesundheitsabteilungen der KPC-Regierung stammen. Die Dokumente sollen von 2019 und 2020 sein, seien der Öffentlichkeit jedoch nicht zugänglich gemacht worden. „Epoch Times“ hat darauf die WHO für einen Kommentar kontaktiert. Die Dokumente verzeichnen einen starken Anstieg der Grippefälle und gehäufte Fieberausbrüche eines nicht identifizierten Erregers sowie eine große Anzahl von Grippe-Daten, die von der KPC gesammelt wurden. Darin wird u.a. berichtet, dass „im Monat Dezember 2019 234 Grippefälle mit einer Inzidenzrate von 40/100.000 gemeldet worden sind – ein Anstieg von 11600 % im Vergleich zum Vormonat und ein Anstieg von rund 46 % im Vergleich zum gleichen Vorjahreszeitraum. In einem weiteren Dokument wird der Anstieg von Influenza-Infektionen zwischen dem 1. September 2019 und dem 5. Dezember 2019 dargestellt. Während dieser drei Monate gab es vier Ausbrüche von Fieber in Clustern, von denen einer ein Adenovirus-Ausbruch ( Erregergruppe, die eine Vielzahl von Erkrankungen auslöst, u.a. der Atemwege, des Magen-Darm-Traktes oder der Augenbindehaut und Hornhaut) war, einer durch Parainfluenza verursacht wurde und bei den anderen beiden seien „keine üblichen Atemwegserreger festgestellt worden“. Erst am 26. Februar 2020 leitete die Gesundheitskommission der Provinz Hebei (Wuhan) den von der Nationalen Gesundheitskommission herausgegebenen „Brief über die Aufforderung zur Zusammenarbeit nach dem Ursprung des Virus bei Wildtieren“ an die Gesundheitsabteilungen verschiedener Städte in der Provinz weiter. Das Dokument forderte die Forst- und Landwirtschaftsabteilungen auf, epidemiologische Untersuchungen an Wildtieren sowie Probenahmen und Tests von Umwelt- und Tierproben durchzuführen. Die Kommission verlangte auch, dass alle Blutproben, die von engen Kontaktpersonen entnommen und zur Aufbewahrung an das örtliche CDC der Provinz geschickt  wurden, wo sie auf die Auswertung von Antikörpertests warteten. Es wurde festgelegt, dass nach der Untersuchung anderer Umwelt- und Tierproben auf COVID-19-Nukleinsäure die Ergebnisse an die örtliche Abteilung für öffentliche Sicherheit gemeldet werden sollten. Sowohl die Weiterleitungsmitteilung als auch das offizielle Schreiben der Nationalen Gesundheitskommission zur Rückverfolgung der Herkunft des COVID-19-Virus sind als „nicht für die Öffentlichkeit bestimmt“ gekennzeichnet. Im Dezember 2019 führten die Stadtverwaltung von Wuhan und Chinas Nationale Gesundheitskommission mehrere Untersuchungen durch und nahmen Proben auf dem Wuhan Huanan Seafood Market, von dem das chinesische Regime zunächst behauptete, er sei der „Ground Zero“ des COVID-19-Ausbruchs. Danach gab die chinesische Regierung nur bekannt, dass Umweltproben vom Huanan Seafood Market positiv getestet wurden, und gab keine weiteren Informationen preis, die helfen würden, das Virus zu seinem Ursprung zurückzuverfolgen, einschließlich der internen Dokumente, die „Epoch Times“ erhalten hat. Einige andere interne Dokumente, die „Epoch Times“ erhalten hat, zeigen, dass das Regime eine große Menge an Influenzadaten besitzt und Ende 2019 eine geheime Mitteilung herausgegeben hat, die Weitergabe an die Öffentlichkeit zu unterlassen. Die Dokumente enthielten auch „Daily Intelligence Meeting Minutes“ (tägliche Notizen) von Chinas Nationalem Zentrum für Seuchenkontrolle und -prävention und Überwachungsberichte der Influenza, die von regionalen Zentren für Seuchenkontrolle und Gesundheitsabteilungen herausgegeben wurden. Diese Dokumente zeigen, dass 2019 mindestens vier Krankenhäuser in Wuhan die Influenza-Epidemie überwachten und biologische Proben von Influenza-Patienten sammelten, die ähnliche Symptome wie diejenigen mit COVID-19 aufwiesen, und die Proben an die kooperierenden Labore der Krankenhäuser in Wuhan zur Prüfung und Konservierung schickten. ",https://www.neopresse.com/gesundheit/die-kpc-haelt-pandemierelevante-daten-vor-der-oeffentlichkeit-zurueck/,"
			Die KPC hält pandemierelevante Daten vor der Öffentlichkeit zurück        ",24. Februar 2021
9,"Geht es nach dem britischen Soziologen Richard Sennett, seien die Epidemiologen in Deutschland naiv. Die Strategie im Umgang mit der Corona-Pandemie sei zu „isolationistisch“, so der Gesellschaftswissenschaftler. „Focus“ erwähnt, dass „es (…) noch vor allem Naturwissenschaftler (sind), die Kanzlerin und Ministerpräsidenten beraten.“ Der Soziologe betont, das Isolationsregime könne sich nach Corona sogar noch fortsetzen. Es wäre eine „verheerende Fehlentwicklung“ zu glauben, die Isolation sei ein geeigneter Weg für Menschen im Umgang mit einer solchen Krise, so Sennett der „Welt“ gegenüber. Dies wäre ein echter Fehler. Um die Entwicklungen wieder rückgängig zu machen, würde es ein oder zwei Jahrzehnte benötigen, begründete er seine Kritik. Im Notfall sei es einfacher, Vorschriften aufzustellen, als dann diese Vorschriften wieder zu beseitigen. Zahlreiche Epidemiologen bezeichnete der Soziologe als soziologisch naiv. Sennet berät die UN in den Segmenten Klimawandel und Städte, was wiederum bedeutet, dass der Wissenschaftler sich auch mit den Vorschriften in den kommenden Jahren beschäftigen wird. Die reine Isolation, die etwa Karl Lauterbach auch für den Klimawandel schon als Rezept betrachtet (in anderen Worten), der Verzicht, dürfte sich dauerhaft kaum ohne nennenswerte Schäden fortsetzen lassen. Aktuell lässt sich die Kanzlerin in den Entscheidungsrunde mit den Ministerpräsidenten von Christian Drosten beraten, der Virologe ist, dem RKI-Präsidenten Lothar Wieler, ein Veterinärmediziner oder auch von einer Virologin Melanie Brinkmann und dem Physiker Michael Meyer-Hermann. Diese beiden Berater halten die Zero Covid-Vision für richtig, die harte und strenge Maßnahmen fordert. Es müsse einen radikalen Lockdown geben, damit das Infektionsgeschehen komplett eingedämmt werden könne. Der Soziologe Sennet wiederum kritisiert bezüglich der Ausgangsbeschränkungen die Vorschläge der hier vertretenen Epidemiologen als „einseitige, verzerrte Wahrnehmung der epidemiologischen Forschung. ",https://www.neopresse.com/gesundheit/britischer-soziologe-epidemiologen-in-deutschland-naiv/,"
			Britischer Soziologe: Epidemiologen in Deutschland naiv        ",24. Februar 2021
