,article,date,header,url
0,"Düsseldorf (dpa) - CDU-Chef Armin Laschet und Olympia-Initiator Michael Mronz suchten voller Selbstbewusstsein die Flucht nach vorne.
Nach dem mutmaßlichen Scheitern des Prestigeprojekts von Olympischen Spielen 2032 in der Rhein-Ruhr-Region versicherten sie: Der Versuch, das Mega-Event nach Nordrhein-Westfalen zu holen - und sei es erst 2036, solle weitergehen. ""Wir sind vorbereitet. Wir werden weiter kämpfen"", sagte NRW-Ministerpräsident Laschet. Das IOC begrüßte diesen Schritt und ermutigte zu einer Bewerbung für 2036.
Laschet und Mronz teilten auch aus in Richtung des Deutschen Olympischen Sportbundes (DOSB) - was dieser wiederum prompt zurückwies. ""Das Erstaunliche ist, dass man kein Gespür hat, was sich beim IOC tut"", sagte Laschet mit Blick auf den deutschen Sport-Dachverband. Auch das IOC kritisierte er.
Erst wenige Tage zuvor hatten der CDU-Chef und Mronz, der Initiator des Projekts Rhein-Ruhr-City, die Medien für den 26. Februar in die Düsseldorfer Fußball-Arena eingeladen. Eigentlich mit dem Ziel, kräftig für die Olympia-Idee zu werben. Doch nach der überraschenden Entscheidung der Exekutive des Internationalen Olympischen Komitees, Brisbane zum bevorzugten Kandidaten für 2032 zu küren, erklärten Laschet und Mronz nun rund 40 Minuten lang, wie es dazu kommen konnte.
Der DOSB habe sich nicht in der Lage gesehen, mit dem IOC in einen ""intensiven und fortlaufenden"" Dialog in Sachen Rhein-Ruhr-Bewerbung zu gehen, monierte Laschet. Deshalb habe die Initiative aus NRW bei der IOC-Entscheidung gar keine Rolle gespielt. IOC-Präsident Thomas Bach habe ihn persönlich über die Vorauswahl informiert. ""Man hat mir erklärt, für das IOC sei Brisbane ein guter Kandidat in unsicheren Zeiten. Ich teile diese Auffassung nicht"", sagte Laschet.
Der DOSB wies die Vorwürfe zurück, nicht mit der Initiative Rhein-Ruhr abgestimmt zusammengearbeitet zu haben. ""Da die nachvollziehbare Enttäuschung in der Region Fragen und Interpretationen über die bisherigen Abläufe ausgelöst hat, machen wir noch einmal deutlich: Alle Schritte in den vergangenen Wochen wurden von DOSB und Rhein Ruhr City 2032 ausnahmslos gemeinsam gegangen"", sagte DOSB-Präsident Alfons Hörmann. Man wolle ""das gesamte Verfahren noch einmal detailliert und transparent aus Sicht des DOSB"" bei einer digitalen Pressekonferenz am 1. März darstellen.
Für die 2,5-Millionen-Stadt an Australiens Ostküste spricht, dass ihr Olympia-Konzept laut IOC voll auf der Linie der sogenannten Agenda 2020 sei und sie bereits über 80 bis 90 Prozent der benötigten Sportstätten verfüge. Außerdem war Australien zuletzt 2000 mit Sydney dran und könnte es nach 32 Jahren wieder sein.
Bislang hatte sich die Mronz-Initiative Rhein-Ruhr noch nicht offiziell beworben, von den betroffenen Städten und der Landesregierung gab es aber viel Unterstützung. Im September hätte es, so der Plan vor dem IOC-Vorstoß, eine Bürgerbefragung zu dem Projekt geben sollen. Bei einer Zustimmung wäre es dann am DOSB gewesen, die Bewerbung tatsächlich auf den Weg zu bringen.
Es habe das Signal gegeben, dass eine Bürgerbefragung im September noch ausreichend gewesen wäre. Es sei zu klären, ob das IOC in dem Prozess so transparent sei, wie es für sich beanspruche. ""Wir hätten alles geliefert, was man braucht, wenn wir gewusst hätten, dass so kurzfristig entschieden wird"", sagte Laschet. Wie es mit der Bürgerbefragung weitergehen soll, ließ der Ministerpräsident offen. Denkbar sei sie auch im Mai 2022 bei der NRW-Landtagswahl.
Er machte aber klar, wenn die Spiele 2032 nicht nach NRW kommen sollten, bleibe für Rhein-Ruhr auch eine Kandidatur für die Spiele vier Jahre später. Eine Austragung 100 Jahre nach denen in Berlin unter dem Nazi-Regime sehe er dabei nicht als Hindernis an: ""Die Botschaft, die diese Spiele haben, ist auch eine inhaltliche. Die Welt ist eine andere 100 Jahre später als bei den Spielen 1936. Dies zu zeigen, dies sichtbar zu machen, würde bei jeden Spielen in den 30er Jahren passen."" Falls es zu einer Kandidatur für 2036 kommen sollte, könnte auch Berlin zum Mitbewerber um die Spiele werden.
IOC-Direktor Christophe Dubi ermutigt dazu. ""Ich habe dazu eine klare Meinung: Der Wunsch nach einer deutschen Bewerbung für 2036 wird aus IOC-Sicht absolut begrüßt. Ich kann nur noch mal sagen: Wir haben hervorragend mit Michael Mronz und seinem Team zusammengearbeitet, das führen wir gerne fort. Wenn der Wille besteht, gehen wir partnerschaftlich in die Zukunft"", sagte der beim IOC zuständige Direktor für die Olympischen Spiele der Funke Mediengruppe.
Sollte Deutschland aber wieder leer ausgehen, würde sich die Geschichte der Enttäuschungen und Niederlagen deutscher Bewerbungsversuche um Sommerspiele mit Berlin (für 2000), Leipzig (2012) und Hamburg (2024) oder für den Winter mit Berchtesgaden (1992) und München (2018 und 2022) verlängern.
Mronz kritisierte, dass beim DOSB nach den Niederlagen von Hamburg und München nie richtige Fehleraufbereitungen gemacht worden seien. Der Verband müsse aus einer ""Traumatisierung rauskommen."" Er bekräftigte seine Argumente für Olympische Spiele in den Städten des Rheinlands und des Ruhrgebiets: Die Sportstätten bestünden schon größtenteils, zudem sei ""die Idee eine Chance für die Region"".
Wichtig sei, nun wieder aufzustehen. ""Wenn man auf den Platz geht, verliert und gewinnt man"", sagte er. Zudem sei es gut, auch die Option 2032 noch nicht aufzugeben. ""Heute zu sagen, man zieht den Stecker, obwohl noch keine offizielle Vergabe stattgefunden hat, wäre falsch.""
","26. Februar 2021, 19:07 Uhr",Laschet: Rhein-Ruhr-Bewerbung geht weiter - Kritik am DOSB,https://www.sueddeutsche.de/politik/sportpolitik-laschet-rhein-ruhr-bewerbung-geht-weiter-kritik-am-dosb-dpa.urn-newsml-dpa-com-20090101-210226-99-605488
1,,"26. Februar 2021, 18:55 Uhr",Prag leiht Impfstoff von Paris,https://www.sueddeutsche.de/politik/corona-prag-leiht-impfstoff-von-paris-1.5218948
2,,"26. Februar 2021, 18:55 Uhr",Anschlag auf das Kapitol geplant,https://www.sueddeutsche.de/politik/usa-anschlag-auf-das-kapitol-geplant-1.5218944
3,"Soldaten aus Eritrea haben bei einem Massaker Ende November in der äthiopischen Stadt Axum systematisch ""viele Hundert"" Menschen umgebracht, hauptsächlich Männer, hat die Menschenrechtsorganisation Amnesty International am Freitag mitgeteilt. Augenzeugen berichteten demnach, dass Bewohner der Stadt getötet, Häuser willkürlich beschossen und Gebäude geplündert worden seien. Für die äthiopisch-orthodoxen Christen ist Axum eine heilige Stadt.
Bereits vor einer Woche hatte die Nachrichtenagentur AP von dem mutmaßlichen Massaker berichtet und sich ebenfalls auf Augenzeugen berufen. Die Regierung Eritreas wies dies als ""Lüge"" zurück. Laut dem Leiter der äthiopischen Menschenrechtskommission, Daniel Bekele, werde der Amnesty-Bericht ernst genommen. Vorläufige Ergebnisse der Kommission ""deuten auf die Ermordung einer noch unbekannten Anzahl von Zivilisten durch eritreische Soldaten hin"".
Während der Offensive zur Einnahme Axums hätten äthiopische und eritreische Truppen etliche Kriegsverbrechen begangen, sagte Deprose Muchena, der Leiter für Ostafrika und das südliche Afrika bei Amnesty International. ""Darüber hinaus haben eritreische Truppen randaliert und systematisch Hunderte Zivilisten kaltblütig getötet, was nach einem Verbrechen gegen die Menschlichkeit aussieht.""
Amnesty sprach nach eigenen Angaben mit 41 Überlebenden und Augenzeugen sowie mit 20 weiteren Menschen, die Kenntnisse von dem Massaker haben. Zudem stützt sich die Organisation auf eine Satellitenbildanalyse. Anwohner sagten demnach, dass die Opfer keine Waffen gehabt hätten und viele vor den Soldaten weggelaufen seien, bevor sie erschossen wurden. So hätten eritreische Soldaten Männer auf der Straße aufgereiht und von hinten erschossen. ""Diese Gräueltat zählt zu den schlimmsten, die bisher in diesem Konflikt dokumentiert wurden"", sagte Deprose Muchena.
Die Menschenrechtsorganisation erfasste nach eigenen Angaben die Namen von mehr als 240 Todesopfern. Man habe die Opferzahl nicht unabhängig bestätigen können, allerdings sei es wegen der Aussagen der Augenzeugen sowie übereinstimmender Beweise plausibel, dass Hunderte Anwohner getötet worden seien, hieß es.
Die Regierung des äthiopischen Friedensnobelpreisträgers Abiy Ahmed hatte im November eine Militäroffensive gegen die Volksbefreiungsfront von Tigray (TPLF) begonnen, die bis dahin in der gleichnamigen Region im Norden Äthiopiens an der Macht war. Hintergrund waren jahrelange Spannungen zwischen der TPLF und der Zentralregierung. Inzwischen sind weitere Akteure beteiligt, darunter eritreische Truppen und Milizen. Die humanitäre Lage in Tigray ist verheerend. Drei Millionen Menschen sind dort laut dem UN-Welternährungsprogramms (WFP) auf Hilfe angewiesen.
","26. Februar 2021, 18:55 Uhr",Berichte über Massaker in Tigray,https://www.sueddeutsche.de/politik/aethiopien-tigray-eritrea-massaker-1.5219351
4,,"26. Februar 2021, 18:55 Uhr",Mehr als 300 Schülerinnen verschleppt,https://www.sueddeutsche.de/politik/nigeria-mehr-als-300-schuelerinnen-verschleppt-1.5218950
5,,"26. Februar 2021, 18:55 Uhr",Diplomaten müssen zu Fuß nach Russland,https://www.sueddeutsche.de/politik/nordkorea-diplomaten-muessen-zu-fuss-nach-russland-1.5218956
6,"Es war ein Zeichen der Wertschätzung, das Charles Michel am Freitagmorgen Jens Stoltenberg zuteil werden ließ. Seite an Seite präsentierten sich der EU-Ratspräsident und der Nato-Generalsekretär vor der Debatte des EU-Gipfels über Verteidigung und Sicherheit. ""Mehr als 90 Prozent der Menschen, die in der Europäischen Union leben, leben in einem Nato-Land"", sagte Stoltenberg. Er nannte dies als Beleg für eine noch engere Kooperation, genau wie die ähnlichen Bedrohungen. Als relevante Themen nannte er die Erhöhung der Widerstandsfähigkeit kritischer Infrastrukturen, Cyberangriffe oder die Folgen des Klimawandels.
Auch Michel sprach von ähnlichen Prioritäten und Bedrohungen, auch wenn er anders als Stoltenberg den Aufstieg Chinas zur Weltmacht nicht erwähnte. Dass der Nato-Chef an der Videokonferenz vom gleichen Raum aus wie Michel teilnehmen durfte, war auch ein Signal in Richtung Washington. ""Ich bin überzeugt, dass starke Partnerschaften starke Partner erfordern"", sagte Michel. Eine stärkere EU führe zu einer stärkeren Nato.
Das von den Staats- und Regierungschefs abgenickte Dokument spiegelt die Brisanz des Themas nicht wirklich wieder. Frankreichs Präsident Emmanuel Macron dringt auf eine größere ""strategische Autonomie"" der EU, was gerade in Osteuropa als unzureichend definiertes Konzept und schlimmstenfalls als Provokation Washingtons empfunden wird. Deren Sorge: Die USA könnten sich aus Europa zurückziehen, wodurch man einem stark aufrüstenden Russland ausgeliefert wäre.
Sätze wie ""Wir bekräftigen, dass die EU angesichts der zunehmenden globalen Instabilität mehr Verantwortung für ihre Sicherheit übernehmen muss"" sind unstrittig, aber offen bleibt, wie dieses Ziel erreicht werden soll. Zu den schwierigen Details gehört auch, wie eng man an die Nato rücken will: Mit Malta, Irland, Österreich, Finnland, Schweden und Zypern gehören sechs EU-Mitglieder nicht der Allianz an. Ein enormes Hindernis sind die Spannungen zwischen dem Nato-Mitglied Türkei sowie Griechenland und Zypern. So verhindert Ankara etwa, dass die Nato mit der EU-Marinemission ""Irini"" kooperiert, die das Waffenembargo gegen Libyen überwacht.
Allerdings wollen beide Organisationen ihre Reformbemühungen absprechen. Wenn US-Präsident Joe Biden im Frühsommer zum Nato-Gipfel nach Brüssel kommt, dürfte eine Aktualisierung des strategischen Konzepts von 2010 in Auftrag gegeben werden. Und die EU will bis März 2022 - kurz vor der Präsidentschaftswahl in Frankreich - einen neuen ""strategischen Kompass"" in der Sicherheits- und Verteidigungspolitik beschließen, wie Ratschef Michel mitteilte. Dieser Kompass soll klarer definieren, was die EU im Krisenfall können soll - und was nicht. Unter der deutschen EU-Ratspräsidentschaft wurde deswegen Ende 2020 eine Bedrohungsanalyse erstellt. Für dieses Geheimdokument haben die nationalen Nachrichtendienste beschrieben, welche Gefahren etwa von China oder Russland ausgehen könnten.
","26. Februar 2021, 18:55 Uhr",Prioritäten und Bedrohungen,https://www.sueddeutsche.de/politik/eu-verteidigung-prioritaeten-und-bedrohungen-1.5219361
7,"Schöner könnte man kaum wohnen als in der Frischluft der Berge am Südrand des Himalaya. Wenn da nicht dieses gefährliche Hindernis wäre mit den drei Buchstaben: LoC. Das steht für ""Line of Control"" oder jene Trennlinie, die das Konfliktgebiet Kaschmir, um das Delhi und Islamabad schon zweimal Krieg führten, in zwei Gebiete teilt. Eines im Südosten, von Indien kontrolliert, und eines im Nordwesten, das unter pakistanischer Verwaltung steht.
Wenn in den vergangenen Jahren von der LoC die Rede war, ging es meist um Vorwürfe, dass die eine oder andere Seite wieder mal die Waffenruhe gebrochen habe. Kugeln und Granaten flogen über die Trennlinie und forderten Opfer, Soldaten und Zivilisten, laut lokalen Berichten waren es jedes Jahr Dutzende. ""Der Tod ist der einzige Sieger in den Gefechten entlang der LoC"", betitelte einmal die indische Zeitung The Tribune einen Kommentar. Doch nun erregen zwölf schlichte Zeilen einer Vereinbarung zwischen den beiden Armeen besondere Aufmerksamkeit. Demnach soll Schluss sein mit dem Hin- und Herschießen über die LoC hinweg, so jedenfalls verspricht es ein jüngst von Indien und Pakistan gezeichnetes Papier.
Beide Seiten vereinbarten darin, ""mit Effekt von Mitternacht vom 24. auf 25. Februar das Feuer einzustellen"". Dies geschehe ""im Interesse, einen gegenseitig vorteilhaften und nachhaltigen Frieden zu erreichen"", heißt es in der Erklärung, die durch längere verdeckt geführte Verhandlungen zustande gekommen sein soll. Pakistans Militärsprecher Babar Iftikhar erklärt, beide Oberbefehlshaber in Kaschmir wollten die zuletzt bestehende Vereinbarung von 2003 über eine Waffenruhe ""in Wort und Geist"" umsetzen.
Nicht nur für Zehntausende Menschen, die entlang der 740 Kilometer langen LoC leben, wäre dies eine große Erleichterung. Es wird nun auch darüber debattiert, inwiefern die überraschende Vereinbarung den Beginn einer dauerhaften Deeskalation zwischen den beiden Erzrivalen einleiten könnte. Doch die Gräben, die es zu überbrücken gilt, sind tief: Neben wiederholter Terrorattacken, für die Delhi Islamabad verantwortlich macht, sind die ständigen Verletzungen der Waffenruhe ein Beleg für das tiefe wurzelnde Misstrauen. Allein im Jahr 2020 will Indien mehr als 5000 Verstöße registriert haben, dabei starben nach offiziellen Angaben 24 Soldaten und 22 Zivilisten im indisch kontrollierten Teil. Pakistan spricht laut der Zeitung Dawn von mehr als 2900 einzelnen Verletzungen der Vereinbarung durch Indien, die zu 33 Todesopfern geführt hätten.
In indischen Medien wurde die Nachricht von der Erneuerung der Waffenruhe eher verhalten aufgenommen, der Zeitung Indian Express sagte ein hochrangiger Offizier, er sei ""vorsichtig optimistisch"", allerdings gebe es noch keine Vereinbarung, auch Truppen entlang der LoC zu reduzieren. Auf indischer Seite heißt es unter Berufung auf anonyme staatliche Quellen, dass sich an der grundsätzlichen Haltung gegenüber Terrorbedrohungen nichts geändert habe. Man behalte sich das Recht auf Vergeltung vor, sollte Pakistan weiterhin versuchen, Kämpfer und Waffen in den indisch kontrollierten Teil von Kaschmir über die LoC zu schmuggeln und dort Extremisten zu Terrortaten anzustiften. Pakistan hat derartige Vorwürfe stets zurückgewiesen und betont, dass es sich beim Widerstand gegen Indien um Freiheitskämpfer handele, die sich einer indischen Unterdrückung widersetzten.
Die Vereinigten Staaten begrüßten die Ankündigung zur Waffenruhe, dies ""ist ein positiver Schritt hin zu mehr Frieden und Stabilität in Südasien"", erklärte die Sprecherin im Weißen Haus, Jen Psaki. Ihr Kollege vom US-Außenministerium, Ned Price, ging vor Journalisten auf die Frage ein, ob die USA eine Rolle für sich sehen, zwischen Pakistan und Indien zu vermitteln. Er sagte, die USA würden weiterhin ""direkten Dialog zwischen Indien und Pakistan über Kaschmir"" unterstützen.
Islamabad spiele für die Zukunft Afghanistan eine große Rolle, sagte Price und appellierte an Pakistan, eine ""konstruktive Rolle"" in der Region zu spielen, auch hinsichtlich Kaschmir. Seit Langem gilt das Land als einer der kompliziertesten Verbündeten der USA, vor allem Vorwürfe, dass das pakistanische Militär heimlich extremistische Gruppen in Afghanistan und in Kaschmir stütze, haben die Beziehungen immer wieder schwer belastet.
","26. Februar 2021, 18:55 Uhr",Wenn plötzlich Frieden ausbricht,https://www.sueddeutsche.de/politik/line-of-control-kaschmir-indien-waffenruhe-pakistan-1.5219103
8,"Als Alice Pamplona da Silva starb, war sie gerade mal fünf Jahre alt, und vom neuen Jahr waren erst ein paar Stunden vergangen. Damals, am 1.1.2021, sah sich das Mädchen um kurz nach Mitternacht auf einem Hügel in ihrer Armensiedlung gemeinsam mit ihrer Familie das Feuerwerk an, das weiter unten im Zentrum von Rio de Janeiro abgebrannt wurde. Es knallte und es krachte, auf einmal aber brach Alice zusammen. Verletzung durch einen Feuerwerkskörper, dachten die Ärzte zuerst, bald aber stellte sich heraus: Eine Kugel hatte das Mädchen getroffen.
Alice wurde zum ersten Schusswaffenopfer Brasiliens 2021, doch während das Jahr für ihre Familie mit der größtmöglichen vorstellbaren Katastrophe begann, startete es ausgerechnet für die Fans von Pistolen und Gewehren mit einer denkbar guten Nachricht: Wurde früher bei Waffenimporten in Brasilien eine Steuer von 20 Prozent erhoben, ist diese seit 1. Januar komplett abgeschafft. Das heißt auch: Knarren werden billiger, in einem Land, das ohnehin schon zu einem der gewalttätigsten der Welt gehört.
Was wie ein Widerspruch klingt, ist für den brasilianischen Präsidenten Jair Bolsonaro nur die stringente Fortführung einer in seinen Augen logischen Kampagne zur Aufrüstung der brasilianischen Zivilgesellschaft. Nach der Abschaffung der Importsteuern hat er auch schon längst wieder nachgelegt: Mitte Februar erhöhte Bolsonaro per Dekret die Zahl der Waffen, die Bürger legal erwerben können. Bis zu sechs Waffen dürfen Brasilianer ohne Vorstrafen nun bei sich zu Hause horten, bei Jägern steigt die Zahl auf 30, bei Sportschützen sogar auf bis zu 60. Gekauft werden dürfen auch mehr Munition und Kaliber, die vorher nur der Polizei und dem Militär zugänglich waren.
Schon im Wahlkampf 2018 hatte Bolsonaro versprochen, das Waffenrecht zu lockern, sollte er gewinnen. Gerne formte er seine Hand bei Auftritten zu einer Pistole und gab imaginäre Luftschüsse ab. Für den rechtspopulistischen Politiker sind Waffen nicht nur ein Bürgerrecht, sondern auch der beste Weg, um Verbrechen und Gewalt zu bekämpfen.
Die sind in Brasilien omnipräsent: Mächtige Drogengangs bekriegen sich gegenseitig und kämpfen gleichzeitig mit mafiösen Milizen und der Polizei. Während es in Deutschland Apps gibt, die vor Unwettern warnen, laden sich Brasilianer ""Fogo Cruzado"" aufs Smartphone: Der Dienst warnt Nutzer mit Push-Nachrichten, wenn es Schießereien in der Nähe gibt.
60 000 Morde gab es 2017 in Brasilien, dem schwärzesten Jahr seit Beginn der Aufzeichnungen. Seitdem sind die Zahlen gesunken, auf 40 000 im Jahre 2019. Experten schätzen, dass diese Abnahme vor allem damit zu tun hat, dass miteinander verfeindete Drogenbanden die Kämpfe eingestellt haben, weil sie gemerkt haben, dass all die Gewalt ihrem Geschäft schadet. Präsident Bolsonaro aber feiert den Rückgang der Gewalt als einen Beweis für seine Politik.
Denn während die Zahl der Tötungsdelikte seit dem Amtsantritt des Präsidenten abgenommen hat, ist die Zahl der offiziell registrierten Waffen geradezu explodiert: 450 000 Pistolen und Gewehre sind seit 2019 neu hinzugekommen, ein Anstieg um 65 Prozent. 1,2 Millionen Schusswaffen gibt es nun offiziell in Brasilien.
Bei 211 Millionen Brasilianern ist das vergleichsweise nicht viel, und allein in Deutschland sind fast fünfmal so viele Pistolen und Gewehre registriert wie in dem südamerikanischen Land. Allerdings, und das ist das Problem, sind die legalen Waffen nur die kleine Spitze eines riesigen Bergs aus illegal gekauften Feuerwaffen. Ihre Zahl, so schätzt das Forschungsinstitut Insper aus São Paulo, könnte zehn bis 15 Mal so hoch sein. Mal sind es Kleinkaliber, die bei braven Familienvätern heimlich in der Nachttischschublade liegen, oft aber auch Schnellfeuergewehre, die über den Schultern von Gangmitgliedern hängen.
Für das Forschungsinstitut Insper steht auch fest, dass ein größerer Anteil an Waffen auch immer mehr Gewalt bedeutet; dass nicht mehr nur verfeindete Drogendealer, Kriminelle und Polizisten auf einander schießen, sondern auch Ehemänner auf Ehefrauen, wenn sie glauben, dass diese sie betrogen haben. Ganz normale Konflikte könnten ausarten und Nachbarschaftsstreitigkeiten tödlich enden. Manche Kritiker glauben sogar, dass nicht nur Menschenleben in Gefahr sind, sondern die Demokratie.
Bolsonaro könnte es nicht nur darum gehen, den Bürgern Waffen in die Hand zu geben, damit diese sich gegen Kriminelle zur Wehr setzen können. Der Präsident wolle seine Unterstützer im Gegenteil vor allem deshalb bewaffnen, damit diese ihm im Zweifelsfall dabei helfen, seine Macht zu sichern, sagen Kritiker wie der Linke Abgeordnete Marcelo Freixo. Nächstes Jahr finden in Brasilien Präsidentschaftswahlen statt. Bolsonaro wird vermutlich wieder antreten, seine Chancen stehen nicht schlecht, und seine Zustimmungswerte sind hoch.
","26. Februar 2021, 18:55 Uhr",Volle Kanone,https://www.sueddeutsche.de/politik/brasilien-waffen-bolsonaro-1.5219315
9,"Hoch hinauf ragen die Bäume in den blauen Spätsommerhimmel, sanft und saftig gelb breitet sich ein Getreidefeld aus. Russlands Natur zeigt sich prächtig auf Iwan Schischkins Gemälde ""Roggen"", das als Titelbild Lust machen soll auf eine Reise, die noch weiter führt als bis nach Sibirien. Anton Tschechow beschreibt in seinem Buch ""Die Insel Sachalin"" den fernen russischen Verbannungsort im Pazifischen Ozean, wo der Literat 1890 mehrere Monate als Beobachter verbrachte. Tschechow schreibt darin von kasernenartigen Holzbaracken, Doppelreihen von Pritschen, Gemeinschaftszellen, die ""dem Zuchthäusler keine Möglichkeit geben, allein zu sein, was er zumindest braucht, um zu beten, nachzudenken und zu jener Selbstverständigung zu gelangen, die alle Anhänger der Besserungstheorie für unerlässlich halten"".
Der Schriftsteller Fjodor Dostojewskij, der im 19. Jahrhundert vier Jahre lang Häftling in einer sibirischen Strafkolonie war, macht es in ""Aufzeichnungen aus dem Totenhaus"" noch deutlicher: ""Mit der Zeit begriff ich, dass es außer dem Verlust der Freiheit, außer der Zwangsarbeit im Leben des Sträflings noch eine Qual gibt, die fast größer ist als alle anderen: das ist das erzwungene allgemeine Zusammenleben.""
Die Beschreibung von Strafkolonien hat in Russland eine Tradition, die bis in die Zarenzeit zurückreicht. Später schreckte Alexander Solschenizyns Werk ""Archipel Gulag"" über das sowjetische Lagersystem die Welt auf. Im jüngeren Russland erzählten der Oligarch Michail Chodorkowskij, der an die chinesische Grenze verlegt wurde, und die Pussy Riot-Sängerin Nadeschda Tolokonnikowa von ihren Erlebnissen im Straflager, die sie zeitweilig in den Hungerstreik trieben.
Strafkolonie, der Begriff hat auch jetzt Konjunktur. Der Oppositionelle Alexej Nawalny muss täglich damit rechnen, für zweieinhalb Jahre in ein solches Lager gebracht zu werden. Oder ist er schon dort? Am Donnerstag wurde er aus dem Untersuchungsgefängnis verlegt. Wohin, war zunächst nicht bekannt. Der Direktor der Strafvollzugsbehörde, Alexander Kalaschnikow, versicherte am Freitag, dass Nawalny jedenfalls keinerlei Bedrohungen zu befürchten habe. In Belarus werden nach der monatelangen Protestwelle derzeit ebenfalls viele Urteile gefällt, in denen es heißt: mehrere Monate oder Jahre kolonii - Strafkolonie.
Strafkolonie klingt nach alten Zeiten. Dostojewskij hatte winters immerhin Spaß am Schneeschaufeln, ansonsten litt er unter der Arbeit in sengender Sommerhitze, bei der ihn schon eine ""armselige verkümmerte Feldblume"" in den Bann zog. Muss Nawalny, müssen andere Verurteilte also nach Sibirien? Müssen sie nicht unbedingt. Abgelegen aber sind die Straflager schon. Nawalny wurde zu einem Straflager des obschtschij, des ""allgemeinen Regimes"", verurteilt und wird innerhalb der russischen Zentralregion verlegt, in einem Radius von 500 Kilometern vom Moskauer Wohnort entfernt.
Die russische Strafvollzug-Expertin Olga Romanowa von der Organisation ""Russland hinter Gittern"", sagt der SZ, dass Kolonien in der Regel in abgeschiedenen Regionen liegen: ""Ein- bis zweistöckige alte Gebäude, Zwei-Etagen-Betten, keine Duschen, keine eigene Kleidung, kein Geld, kein Internet, erlaubt sind 20 Kilogramm Pakete in drei Monaten, vier mehrtägige und sechs mehrstündige Besuche pro Jahr."" Oft würden die Insassen nähen, etwa Uniformen für die Polizei, Kleidung für Hausmeister.
Es gibt in Russland leichtere Straflager und solche des ""strengen"" und des ""besonderen Regimes"", aber Olga Romanowa sagt, so groß würden sie sich nicht unterscheiden, ""vor allem durch die Zahl der Besuche, und ob man Geld zur Verfügung haben darf"".
Russische Lager sind gefürchtet. Wenig Schlaf, Arbeit von morgens bis spät am Abend, launenhafte Wärter, keine Rückzugsmöglichkeit für die Häftlinge in den Gemeinschaftsunterkünften, die Hierarchien herausbilden und dadurch oft Spannungen erzeugen. ""Resozialisierung gibt es nur auf dem Papier"", sagt Romanowa. ""Die meisten Insassen werden rückfällig.""
Immer wieder gibt es Berichte über Gewalt, sogar Folter. Erst am Dienstag veröffentlichte die Zeitung Nowaja Gaseta Videos aus einem Lager in Jaroslawl, auf denen zu sehen ist, wie Wärter vor einigen Jahren auf Männer einprügelten. Im sibirischen Gebiet von Irkutsk wurden kürzlich nach russischen Medienberichten zwei Gefangene von Aufsehern gefoltert und schwer verletzt. Der Leiter der Anstalt sei entlassen worden. Fürchterlich seien auch die Zustände in Belarus, sagt Romanowa. Noch schrecklicher gehe es in den einstigen Sowjetrepubliken in Tadschikistan, Usbekistan und Turkmenistan zu: ""Das ist praktisch mittelalterlich"", sagt sie.
In Russland ist die Zahl der Häftlinge in den vergangenen 20 Jahren um die Hälfte auf derzeit etwa 500 000 zurückgegangen. Olga Romanowa sagt, dies liege daran, dass Delikte wie leichter Diebstahl oder häusliche Gewalt entkriminalisiert worden seien. ""Das alles betrifft einen großen Teil der Gesellschaft"", sagt sie. Manches Straflager wird deshalb geschlossen, die Zahl der Gefangenen pro Landesbevölkerung ist nach Angaben des Europarats trotzdem die höchste in Europa, geringer jedoch als die in den USA.
Igor Kaljapin, Mitglied des Menschenrechtsrats beim russischen Präsidenten, beklagte einmal in einem Interview mit znak.com, dass die Einrichtungen noch ein Erbe des sowjetischen Systems seien und diese sich dort befänden, ""wo sich die Füchse Gute Nacht sagen"". Immer wieder gab es Reformpläne, die neuesten von Januar sehen jedoch eher eine Digitalisierungsoffensive in den Kolonien vor, moderne Dokumentenerfassung, Gesichtserkennung, Methoden zur Blockade von Mobilfunkverbindungen, wie der Kommersant berichtete.
","26. Februar 2021, 18:55 Uhr","Einsam, aber nie allein",https://www.sueddeutsche.de/politik/russland-straflager-nawalny-1.5219182
